date,value,series_id,series_name
1975-03-01,7.73,GS10,10-Year Treasury Constant Maturity Rate
1975-04-01,8.23,GS10,10-Year Treasury Constant Maturity Rate
1975-05-01,8.06,GS10,10-Year Treasury Constant Maturity Rate
1975-06-01,7.86,GS10,10-Year Treasury Constant Maturity Rate
1975-07-01,8.06,GS10,10-Year Treasury Constant Maturity Rate
1975-08-01,8.4,GS10,10-Year Treasury Constant Maturity Rate
1975-09-01,8.43,GS10,10-Year Treasury Constant Maturity Rate
1975-10-01,8.14,GS10,10-Year Treasury Constant Maturity Rate
1975-11-01,8.05,GS10,10-Year Treasury Constant Maturity Rate
1975-12-01,8.0,GS10,10-Year Treasury Constant Maturity Rate
1976-01-01,7.74,GS10,10-Year Treasury Constant Maturity Rate
1976-02-01,7.79,GS10,10-Year Treasury Constant Maturity Rate
1976-03-01,7.73,GS10,10-Year Treasury Constant Maturity Rate
1976-04-01,7.56,GS10,10-Year Treasury Constant Maturity Rate
1976-05-01,7.9,GS10,10-Year Treasury Constant Maturity Rate
1976-06-01,7.86,GS10,10-Year Treasury Constant Maturity Rate
1976-07-01,7.83,GS10,10-Year Treasury Constant Maturity Rate
1976-08-01,7.77,GS10,10-Year Treasury Constant Maturity Rate
1976-09-01,7.59,GS10,10-Year Treasury Constant Maturity Rate
1976-10-01,7.41,GS10,10-Year Treasury Constant Maturity Rate
1976-11-01,7.29,GS10,10-Year Treasury Constant Maturity Rate
1976-12-01,6.87,GS10,10-Year Treasury Constant Maturity Rate
1977-01-01,7.21,GS10,10-Year Treasury Constant Maturity Rate
1977-02-01,7.39,GS10,10-Year Treasury Constant Maturity Rate
1977-03-01,7.46,GS10,10-Year Treasury Constant Maturity Rate
1977-04-01,7.37,GS10,10-Year Treasury Constant Maturity Rate
1977-05-01,7.46,GS10,10-Year Treasury Constant Maturity Rate
1977-06-01,7.28,GS10,10-Year Treasury Constant Maturity Rate
1977-07-01,7.33,GS10,10-Year Treasury Constant Maturity Rate
1977-08-01,7.4,GS10,10-Year Treasury Constant Maturity Rate
1977-09-01,7.34,GS10,10-Year Treasury Constant Maturity Rate
1977-10-01,7.52,GS10,10-Year Treasury Constant Maturity Rate
1977-11-01,7.58,GS10,10-Year Treasury Constant Maturity Rate
1977-12-01,7.69,GS10,10-Year Treasury Constant Maturity Rate
1978-01-01,7.96,GS10,10-Year Treasury Constant Maturity Rate
1978-02-01,8.03,GS10,10-Year Treasury Constant Maturity Rate
1978-03-01,8.04,GS10,10-Year Treasury Constant Maturity Rate
1978-04-01,8.15,GS10,10-Year Treasury Constant Maturity Rate
1978-05-01,8.35,GS10,10-Year Treasury Constant Maturity Rate
1978-06-01,8.46,GS10,10-Year Treasury Constant Maturity Rate
1978-07-01,8.64,GS10,10-Year Treasury Constant Maturity Rate
1978-08-01,8.41,GS10,10-Year Treasury Constant Maturity Rate
1978-09-01,8.42,GS10,10-Year Treasury Constant Maturity Rate
1978-10-01,8.64,GS10,10-Year Treasury Constant Maturity Rate
1978-11-01,8.81,GS10,10-Year Treasury Constant Maturity Rate
1978-12-01,9.01,GS10,10-Year Treasury Constant Maturity Rate
1979-01-01,9.1,GS10,10-Year Treasury Constant Maturity Rate
1979-02-01,9.1,GS10,10-Year Treasury Constant Maturity Rate
1979-03-01,9.12,GS10,10-Year Treasury Constant Maturity Rate
1979-04-01,9.18,GS10,10-Year Treasury Constant Maturity Rate
1979-05-01,9.25,GS10,10-Year Treasury Constant Maturity Rate
1979-06-01,8.91,GS10,10-Year Treasury Constant Maturity Rate
1979-07-01,8.95,GS10,10-Year Treasury Constant Maturity Rate
1979-08-01,9.03,GS10,10-Year Treasury Constant Maturity Rate
1979-09-01,9.33,GS10,10-Year Treasury Constant Maturity Rate
1979-10-01,10.3,GS10,10-Year Treasury Constant Maturity Rate
1979-11-01,10.65,GS10,10-Year Treasury Constant Maturity Rate
1979-12-01,10.39,GS10,10-Year Treasury Constant Maturity Rate
1980-01-01,10.8,GS10,10-Year Treasury Constant Maturity Rate
1980-02-01,12.41,GS10,10-Year Treasury Constant Maturity Rate
1980-03-01,12.75,GS10,10-Year Treasury Constant Maturity Rate
1980-04-01,11.47,GS10,10-Year Treasury Constant Maturity Rate
1980-05-01,10.18,GS10,10-Year Treasury Constant Maturity Rate
1980-06-01,9.78,GS10,10-Year Treasury Constant Maturity Rate
1980-07-01,10.25,GS10,10-Year Treasury Constant Maturity Rate
